HERD,牛场名称,Region
12A012,天津嘉立荷畜牧有限公司第七奶牛场分公司,other
12A013,军粮城二场,other
12A014,军粮城三场,other
12A015,天津嘉立荷畜牧有限公司第十六奶牛场分公司,other
12A016,天津嘉立荷畜牧有限公司示范牧场四场,other
12A018,天津嘉立荷畜牧有限公司第九奶牛场分公司,other
12A019,奶牛育种站,other
12A020,天津嘉立荷畜牧有限公司第八奶牛场分公司,other
12A021,天津市惠泽牧业有限公司,other
12A022,天津嘉宝奶牛养殖有限公司,other
12A023,天津嘉立荷畜牧有限公司第六奶牛场分公司,other
12A024,钟澳（天津）奶牛有限公司,other
12A025,天津嘉立荷畜牧有限公司第十二奶牛场分公司,other
12A026,嘉立荷（山东）牧业有限公司,other
12A027,嘉立荷山东第一牧场,other
12A028,嘉立荷山东第二牧场,other
12A029,嘉立荷山东第三牧场,other
12A030,嘉立荷山东第四牧场,other
12A101,天津润华奶牛养殖有限公司,other
12A102,天津市武清区华明奶牛场,other
12A103,武清雄特牧场,other
12A104,帅博牛场,other
12A105,河北三鹿,other
12A106,河北3502,other
12A107,河北大曹庄,other
12A108,润泽牛场,other
12A109,北辰线河,other
12A110,北辰亿达,other
12A111,天津神驰农牧发展有限公司,other
12A112,天津市宝坻区建广奶牛场,other
12A113,梦得娟姗,other
12A114,天津誉利畜牧养殖有限公司,other
12A115,超跃牛场,other
12A116,天津海林养殖场,other
12A117,北辰红枫,other
12A118,梦德牛场,other
12A119,天津今日健康牧场,other
12A120,北京中以牛场,other
12A121,天津市武清区文稷养殖有限公司,other
12A122,天津市德兴隆奶牛养殖有限公司,other
12A123,新世纪牧业有限公司,other
12A124,金牛湾养殖公司,other
12A125,大老李牛农有限公司,other
12A126,天津市正信养殖场,other
12A127,富利牛场,other
12A130,天津市龙海奶牛养殖有限公司,other
12A131,北辰乐奶牛小区,other
12A138,北辰区展望奶牛小区,other
12A139,北辰区禹忱奶牛小区,other
12A141,北辰区箐华奶牛小区,other
12A144,津蓿牛场,other
12A146,天津市长泰科技发展有限公司,other
12A150,天津梦得牧业发展有限公司第一分公司,other
12A151,西青区金鑫奶牛场,other
12A155,天津凯润淡水养殖有限公司,other
12A183,天津市润丰奶牛养殖有限公司,other
12A188,天津市东旭奶牛养殖专业合作社,other
12A196,天津光明荷斯坦牧业有限公司蓟县分公司（神农奶牛场）,other
12A231,联合顺兴奶牛养殖合作社,other
12A238,天宇奶牛养殖小区,other
